course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section
ARCHITECTURAL DESIGN STUDIO 2,LEC,5,MTWR,2:00,5:50PM,Staff,20,0,20,ARCH,2020-07-13,2020-08-21,SUMMER 2020,15270,2810,01
FUNDAMENTALS OF MUSIC & SOUND,LEC,4,MTRF,10:30,12:35PM,Chamberlai,19,0,19,ARTS,2020-07-13,2020-08-21,SUMMER 2020,15710,1380,01
"MUSIC, AFFECT & EMBOD LISTEN",LEC,4,MTRF,1:30,3:35PM,Chamberlai,19,0,19,ARTS,2020-07-13,2020-08-21,SUMMER 2020,15694,2968,01
"ART, COMMUNITY AND TECHNOLOGY",STU,4,MTRF,1:30,3:35PM,Miller,19,0,19,ARTS,2020-07-13,2020-08-21,SUMMER 2020,15467,4080,01
"ART, COMMUNITY AND TECHNOLOGY",STU,4,MTRF,1:30,3:35PM,Miller,19,0,19,ARTS,2020-07-13,2020-08-21,SUMMER 2020,15468,6250,01
ASTROPHYSICS,LEC,4,MTRF,11:45,1:50PM,Ciolek,30,0,30,ASTR,2020-07-13,2020-08-21,SUMMER 2020,15474,4220,01
HEALTH ANLYTCS CHALLENGES LAB,LAB,4,MTR,1:30,4:50PM,Bennett,10,0,10,BIOL,2020-07-13,2020-08-21,SUMMER 2020,15528,4960,01
CHEMISTRY II,LEC,4,MTRF,10:30,12:35PM,Tysoe,20,0,20,CHEM,2020-07-13,2020-08-21,SUMMER 2020,15369,1200,01
CHEMISTRY II,LAB,4,MR,1:00,3:50PM,Tysoe/Morrissey,20,0,20,CHEM,2020-07-13,2020-08-21,SUMMER 2020,15369,1200,01
ORGANIC CHEMISTRY LAB II,LEC,1,MR,2:00,4:50PM,Totsingan,20,0,20,CHEM,2020-07-13,2020-08-21,SUMMER 2020,15012,2240,01
ORGANIC CHEMISTRY II,LEC,3,MTRF,10:30,12:20PM,Aldersley,40,0,40,CHEM,2020-07-13,2020-08-21,SUMMER 2020,15011,2260,01
INTRO TO COGNITIVE SCIENCE,LEC,4,MTRF,10:30,12:35PM,Weissman,25,0,25,COGS,2020-07-13,2020-08-21,SUMMER 2020,15689,2120,01
